n°visita,Edad,idjumper,tiempo,fecha,hora
175,11,35412,30,22-12-2018,12:00:00 a. m.
176,9,35413,60,22-12-2018,12:00:00 a. m.
177,8,35414,120,22-12-2018,12:00:00 a. m.
178,9,35415,60,22-12-2018,12:00:00 a. m.
179,7,35416,30,22-12-2018,12:00:00 a. m.
180,4,35417,30,22-12-2018,12:00:00 a. m.
181,8,35418,60,22-12-2018,12:00:00 a. m.
182,6,35419,120,22-12-2018,12:00:00 a. m.
183,10,35420,120,22-12-2018,12:00:00 a. m.
184,12,35421,120,22-12-2018,12:00:00 a. m.
185,3,35422,120,22-12-2018,12:00:00 a. m.
186,29,35423,120,22-12-2018,12:00:00 a. m.
187,11,35424,60,22-12-2018,12:00:00 a. m.
188,10,35425,60,22-12-2018,12:00:00 a. m.
189,10,35426,30,22-12-2018,12:00:00 a. m.
190,9,35427,30,22-12-2018,12:00:00 a. m.
191,7,35428,30,22-12-2018,12:00:00 a. m.
192,9,35429,30,22-12-2018,12:00:00 a. m.
193,12,35430,30,22-12-2018,12:00:00 a. m.
194,2,35431,30,22-12-2018,12:00:00 a. m.
195,8,35432,30,22-12-2018,12:00:00 a. m.
196,9,35433,30,22-12-2018,12:00:00 a. m.
197,6,35434,30,22-12-2018,12:00:00 a. m.
198,7,35435,30,22-12-2018,12:00:00 a. m.
199,37,35436,30,22-12-2018,12:00:00 a. m.
200,38,35437,30,22-12-2018,12:00:00 a. m.
201,12,35438,60,22-12-2018,12:00:00 a. m.
202,10,35439,60,22-12-2018,12:00:00 a. m.
203,7,35440,60,22-12-2018,12:00:00 a. m.
204,10,35441,60,22-12-2018,12:00:00 a. m.
205,7,35442,30,22-12-2018,12:00:00 a. m.
206,14,40,30,22-12-2018,12:00:00 a. m.
207,12,35335,30,22-12-2018,12:00:00 a. m.
208,5,35336,30,22-12-2018,12:00:00 a. m.
209,44,35443,30,22-12-2018,12:00:00 a. m.
210,14,35444,30,22-12-2018,12:00:00 a. m.
211,6,34,60,22-12-2018,12:00:00 a. m.
212,8,35445,30,22-12-2018,12:00:00 a. m.
219,23,35452,60,23-12-2018,12:00:00 a. m.
220,18,35453,60,23-12-2018,12:00:00 a. m.
221,26,35454,60,23-12-2018,12:00:00 a. m.
222,3,35455,60,23-12-2018,12:00:00 a. m.
223,26,35456,60,23-12-2018,12:00:00 a. m.
224,26,35457,60,23-12-2018,12:00:00 a. m.
225,9,35413,60,23-12-2018,12:00:00 a. m.
226,19,35458,30,23-12-2018,12:00:00 a. m.
227,7,35459,30,23-12-2018,12:00:00 a. m.
228,4,35460,30,23-12-2018,12:00:00 a. m.
229,11,35461,30,23-12-2018,12:00:00 a. m.
230,9,35462,30,23-12-2018,12:00:00 a. m.
231,11,35463,30,23-12-2018,12:00:00 a. m.
232,6,35464,30,23-12-2018,12:00:00 a. m.
233,11,35465,30,23-12-2018,12:00:00 a. m.
234,2,35466,60,23-12-2018,12:00:00 a. m.
235,2,35467,60,23-12-2018,12:00:00 a. m.
236,5,35468,60,23-12-2018,12:00:00 a. m.
237,3,35469,60,23-12-2018,12:00:00 a. m.
238,3,35470,60,23-12-2018,12:00:00 a. m.
239,36,35471,60,23-12-2018,12:00:00 a. m.
240,24,35472,30,23-12-2018,12:00:00 a. m.
241,22,35473,30,23-12-2018,12:00:00 a. m.
242,20,35474,30,23-12-2018,12:00:00 a. m.
243,24,35475,30,23-12-2018,12:00:00 a. m.
244,21,35476,30,23-12-2018,12:00:00 a. m.
245,38,35477,30,23-12-2018,12:00:00 a. m.
246,14,35395,60,23-12-2018,12:00:00 a. m.
247,14,49,60,23-12-2018,12:00:00 a. m.
248,9,48,60,23-12-2018,12:00:00 a. m.
249,5,35478,30,23-12-2018,12:00:00 a. m.
250,3,35479,30,23-12-2018,12:00:00 a. m.
251,36,35480,30,23-12-2018,12:00:00 a. m.
252,6,35481,30,23-12-2018,12:00:00 a. m.
253,8,35482,30,23-12-2018,12:00:00 a. m.
254,10,35483,30,23-12-2018,12:00:00 a. m.
255,34,35484,30,23-12-2018,12:00:00 a. m.
256,14,35485,30,23-12-2018,12:00:00 a. m.
257,14,35486,30,23-12-2018,12:00:00 a. m.
258,15,35487,30,23-12-2018,12:00:00 a. m.
259,16,35488,30,23-12-2018,12:00:00 a. m.
260,14,35489,30,23-12-2018,12:00:00 a. m.
261,3,35490,30,23-12-2018,12:00:00 a. m.
262,17,35491,30,23-12-2018,12:00:00 a. m.
263,17,35492,30,23-12-2018,12:00:00 a. m.
264,2,35493,30,23-12-2018,12:00:00 a. m.
265,36,35494,30,23-12-2018,12:00:00 a. m.
266,2,22005,30,23-12-2018,12:00:00 a. m.
267,6,35495,30,23-12-2018,12:00:00 a. m.
268,32,35496,30,23-12-2018,12:00:00 a. m.
269,33,35497,30,23-12-2018,12:00:00 a. m.
270,12,59,120,23-12-2018,12:00:00 a. m.
271,8,60,120,23-12-2018,12:00:00 a. m.
272,15,35498,120,23-12-2018,12:00:00 a. m.
273,6,64,60,23-12-2018,12:00:00 a. m.
274,18,35499,30,23-12-2018,12:00:00 a. m.
275,10,35500,30,23-12-2018,12:00:00 a. m.
276,6,35501,60,23-12-2018,12:00:00 a. m.
277,11,35502,30,23-12-2018,12:00:00 a. m.
278,11,35503,30,23-12-2018,12:00:00 a. m.
279,13,35504,60,23-12-2018,12:00:00 a. m.
280,9,35505,60,23-12-2018,12:00:00 a. m.
281,13,35506,60,23-12-2018,12:00:00 a. m.
282,11,35507,60,23-12-2018,12:00:00 a. m.
283,6,35508,60,23-12-2018,12:00:00 a. m.
284,3,35509,30,23-12-2018,12:00:00 a. m.
285,17,35510,30,23-12-2018,12:00:00 a. m.
286,7,35511,30,23-12-2018,12:00:00 a. m.
287,30,35512,30,23-12-2018,12:00:00 a. m.
288,10,35513,60,23-12-2018,12:00:00 a. m.
289,18,35514,30,23-12-2018,12:00:00 a. m.
290,18,35515,30,23-12-2018,12:00:00 a. m.
291,10,35516,60,23-12-2018,12:00:00 a. m.
292,13,35517,60,23-12-2018,12:00:00 a. m.
293,12,35518,60,23-12-2018,12:00:00 a. m.
294,14,40,30,23-12-2018,12:00:00 a. m.
295,12,35335,30,23-12-2018,12:00:00 a. m.
296,10,35519,30,23-12-2018,12:00:00 a. m.
297,11,35520,30,23-12-2018,12:00:00 a. m.
298,10,35521,30,23-12-2018,12:00:00 a. m.
299,11,35522,30,23-12-2018,12:00:00 a. m.
300,8,35523,30,23-12-2018,12:00:00 a. m.
301,5,35524,30,23-12-2018,12:00:00 a. m.
302,12,35430,30,23-12-2018,12:00:00 a. m.
303,2,35525,30,23-12-2018,12:00:00 a. m.
304,12,59,60,23-12-2018,12:00:00 a. m.
305,8,60,60,23-12-2018,12:00:00 a. m.
306,15,35498,60,23-12-2018,12:00:00 a. m.
307,4,35526,30,23-12-2018,12:00:00 a. m.
308,12,35527,30,23-12-2018,12:00:00 a. m.
309,12,35528,30,23-12-2018,12:00:00 a. m.
310,13,35529,30,23-12-2018,12:00:00 a. m.
